"","location","fault_severity","severity_type","n.event.types","n.features","max.vol","min.vol","n.resource_type","highest_feature","lowest_feature","sum_vol","sd_vol"
"16953","location 242","0","severity_type 2",2,6,41,20,1,"feature 314","feature 229",179,8.49509662491644
"16958","location 369","1","severity_type 2",2,8,2,1,1,"feature 235","feature 308",12,0.534522483824849
"16960","location 490","0","severity_type 2",2,10,8,1,1,"feature 312","feature 310",43,2.49666444147653
"16965","location 734","1","severity_type 1",3,4,20,1,2,"feature 82","feature 193",38,8.10349718742881
"16966","location 230","0","severity_type 2",3,9,1,1,2,"feature 211","feature 211",9,0
"16969","location 255","0","severity_type 4",1,1,5,5,1,"feature 312","feature 312",5,NA
"16972","location 845","1","severity_type 2",1,2,22,2,1,"feature 82","feature 203",24,14.142135623731
"16975","location 284","1","severity_type 1",1,2,1,1,1,"feature 220","feature 220",2,0
"16977","location 501","0","severity_type 2",2,4,5,1,1,"feature 315","feature 235",14,1.73205080756888
"16979","location 846","0","severity_type 1",2,2,2,2,1,"feature 203","feature 203",4,0
"16988","location 657","0","severity_type 2",2,1,3,3,2,"feature 68","feature 68",3,NA
"16989","location 931","2","severity_type 1",4,10,7,1,3,"feature 80","feature 134",32,1.98885785202351
"16990","location 894","2","severity_type 1",3,6,42,2,1,"feature 283","feature 290",206,15.8703077054815
"16991","location 135","0","severity_type 2",2,5,18,2,1,"feature 312","feature 315",40,8.24621125123532
"16993","location 734","0","severity_type 1",2,2,22,4,2,"feature 82","feature 71",26,12.7279220613579
"16995","location 509","0","severity_type 2",2,2,13,12,1,"feature 312","feature 232",25,0.707106781186548
"16998","location 1031","1","severity_type 1",1,2,5,4,1,"feature 170","feature 54",9,0.707106781186548
"16999","location 878","0","severity_type 1",1,1,2,2,1,"feature 73","feature 73",2,NA
"17004","location 601","0","severity_type 2",2,3,4,3,2,"feature 68","feature 54",11,0.577350269189626
"17005","location 60","1","severity_type 1",1,2,1,1,1,"feature 171","feature 171",2,0
"17009","location 662","0","severity_type 1",1,4,2,1,1,"feature 206","feature 54",5,0.5
"17010","location 474","0","severity_type 2",2,6,5,3,1,"feature 312","feature 313",22,0.816496580927726
"17013","location 466","0","severity_type 2",2,2,5,4,1,"feature 234","feature 314",9,0.707106781186548
"17015","location 292","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"17016","location 891","0","severity_type 2",1,2,2,2,1,"feature 73","feature 73",4,0
"17017","location 1019","2","severity_type 2",1,2,12,8,1,"feature 82","feature 203",20,2.82842712474619
"17021","location 141","0","severity_type 4",1,3,1,1,1,"feature 307","feature 307",3,0
"17025","location 78","1","severity_type 2",1,2,1,1,1,"feature 55","feature 55",2,0
"17027","location 684","2","severity_type 1",2,4,8,1,1,"feature 82","feature 193",16,2.94392028877595
"17028","location 9","0","severity_type 1",2,1,3,3,2,"feature 71","feature 71",3,NA
"17029","location 640","0","severity_type 1",1,2,2,1,1,"feature 374","feature 289",3,0.707106781186548
"17032","location 1089","1","severity_type 1",1,3,1,1,1,"feature 170","feature 170",3,0
"17033","location 1025","1","severity_type 1",1,4,2,1,1,"feature 196","feature 74",5,0.5
"17034","location 102","0","severity_type 2",2,12,3,1,1,"feature 230","feature 234",22,0.937436866561092
"17037","location 1100","2","severity_type 2",1,6,46,1,1,"feature 82","feature 193",63,17.8073018731081
"17041","location 1","1","severity_type 1",3,3,7,2,2,"feature 80","feature 111",12,2.64575131106459
"17042","location 478","0","severity_type 2",2,9,41,1,1,"feature 314","feature 308",134,14.4260566722549
"17051","location 964","0","severity_type 2",1,1,1,1,1,"feature 73","feature 73",1,NA
"17054","location 149","0","severity_type 2",2,8,25,4,1,"feature 313","feature 232",75,6.94750726108704
"17057","location 122","0","severity_type 2",2,6,4,1,1,"feature 233","feature 232",14,1.211060141639
"17058","location 9","0","severity_type 1",2,2,7,1,2,"feature 71","feature 193",8,4.24264068711928
"17059","location 845","2","severity_type 2",1,2,24,11,1,"feature 82","feature 203",35,9.19238815542512
"17061","location 822","0","severity_type 1",2,3,1,1,2,"feature 219","feature 219",3,0
"17063","location 382","0","severity_type 4",1,1,2,2,1,"feature 312","feature 312",2,NA
"17065","location 609","0","severity_type 2",2,2,3,2,2,"feature 306","feature 75",5,0.707106781186548
"17067","location 885","0","severity_type 1",1,3,1,1,1,"feature 81","feature 81",3,0
"17068","location 1052","0","severity_type 2",2,1,4,4,2,"feature 82","feature 82",4,NA
"17071","location 1014","0","severity_type 4",1,2,1,1,1,"feature 306","feature 306",2,0
"17077","location 627","1","severity_type 2",3,5,18,1,2,"feature 75","feature 222",36,7.79102047231298
"17078","location 12","0","severity_type 1",2,2,451,354,1,"feature 56","feature 172",805,68.5893577750951
"17080","location 839","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"17082","location 1094","0","severity_type 1",1,2,1,1,1,"feature 56","feature 56",2,0
"17084","location 302","0","severity_type 4",1,1,1,1,1,"feature 301","feature 301",1,NA
"17088","location 430","1","severity_type 2",3,6,1,1,2,"feature 44","feature 44",6,0
"17091","location 798","2","severity_type 2",1,2,13,9,1,"feature 82","feature 203",22,2.82842712474619
"17094","location 334","0","severity_type 4",1,2,1,1,1,"feature 315","feature 315",2,0
"17095","location 653","0","severity_type 2",1,2,6,2,1,"feature 82","feature 203",8,2.82842712474619
"17096","location 1107","2","severity_type 1",2,6,413,1,1,"feature 82","feature 201",674,157.56226282542
"17100","location 476","0","severity_type 2",2,12,4,1,1,"feature 307","feature 229",30,1
"17101","location 149","0","severity_type 2",2,5,14,1,1,"feature 233","feature 307",52,5.41294744108974
"17102","location 779","2","severity_type 2",1,3,15,1,1,"feature 82","feature 80",22,7.09459888459759
"17103","location 1052","0","severity_type 1",2,1,4,4,2,"feature 82","feature 82",4,NA
"17106","location 181","0","severity_type 2",2,6,6,1,1,"feature 233","feature 232",27,2.07364413533277
"17108","location 818","1","severity_type 1",2,2,2,1,2,"feature 54","feature 170",3,0.707106781186548
"17109","location 565","0","severity_type 2",1,1,2,2,1,"feature 55","feature 55",2,NA
"17110","location 856","1","severity_type 1",2,3,2,1,2,"feature 68","feature 345",4,0.577350269189626
"17118","location 895","1","severity_type 1",2,2,1,1,1,"feature 283","feature 283",2,0
"17125","location 1089","1","severity_type 1",1,1,1,1,1,"feature 54","feature 54",1,NA
"17127","location 519","0","severity_type 2",2,4,1,1,1,"feature 307","feature 307",4,0
"17130","location 972","1","severity_type 4",1,2,2,1,1,"feature 306","feature 223",3,0.707106781186548
"17133","location 803","0","severity_type 1",1,3,4,1,1,"feature 170","feature 68",7,1.52752523165195
"17135","location 1044","0","severity_type 2",1,2,1,1,1,"feature 73","feature 73",2,0
"17139","location 893","0","severity_type 1",3,6,4,1,1,"feature 376","feature 290",19,1.16904519445001
"17142","location 475","0","severity_type 2",2,2,11,7,1,"feature 314","feature 234",18,2.82842712474619
"17143","location 1052","1","severity_type 2",1,2,9,1,1,"feature 82","feature 203",10,5.65685424949238
"17145","location 400","0","severity_type 1",3,4,1,1,1,"feature 301","feature 301",4,0
"17151","location 814","0","severity_type 2",1,1,4,4,1,"feature 70","feature 70",4,NA
"17152","location 818","1","severity_type 1",1,2,1,1,1,"feature 68","feature 68",2,0
"17153","location 488","0","severity_type 2",2,5,11,2,1,"feature 312","feature 314",19,4.02492235949962
"17156","location 1042","0","severity_type 2",1,2,28,24,1,"feature 82","feature 203",52,2.82842712474619
"17157","location 470","0","severity_type 2",2,2,10,9,1,"feature 312","feature 232",19,0.707106781186548
"17160","location 124","0","severity_type 2",2,6,2,1,1,"feature 233","feature 232",8,0.516397779494322
"17165","location 734","2","severity_type 1",2,6,14,2,2,"feature 82","feature 193",41,4.07021702943058
"17166","location 578","0","severity_type 1",1,2,1,1,1,"feature 219","feature 219",2,0
"17169","location 505","0","severity_type 2",2,4,100,1,1,"feature 232","feature 233",178,50.6918796915903
"17170","location 508","0","severity_type 2",2,2,19,19,1,"feature 232","feature 232",38,0
"17171","location 242","0","severity_type 2",2,4,2,1,1,"feature 232","feature 312",5,0.5
"17172","location 899","1","severity_type 1",4,6,2,1,1,"feature 283","feature 291",8,0.516397779494322
"17173","location 902","1","severity_type 1",3,4,3,1,3,"feature 68","feature 54",7,0.957427107756338
"17174","location 518","0","severity_type 2",2,6,17,5,1,"feature 313","feature 235",61,5.11533641774094
"17175","location 124","0","severity_type 2",2,8,6,2,1,"feature 233","feature 307",34,1.90862703084106
"17180","location 466","0","severity_type 2",2,8,8,1,1,"feature 314","feature 308",31,3.22656385117578
"17182","location 460","1","severity_type 2",2,3,1,1,1,"feature 309","feature 309",3,0
"17183","location 1099","0","severity_type 1",1,4,7,2,1,"feature 202","feature 191",16,2.44948974278318
"17184","location 839","0","severity_type 2",1,1,5,5,1,"feature 54","feature 54",5,NA
"17185","location 684","2","severity_type 1",2,1,2,2,1,"feature 71","feature 71",2,NA
"17187","location 798","1","severity_type 2",1,2,32,17,1,"feature 82","feature 203",49,10.6066017177982
"17193","location 1048","0","severity_type 1",1,2,1,1,1,"feature 68","feature 68",2,0
"17194","location 942","0","severity_type 1",2,2,1,1,2,"feature 54","feature 54",2,0
"17196","location 919","0","severity_type 1",1,4,5,2,1,"feature 171","feature 202",16,1.4142135623731
"17199","location 475","0","severity_type 2",2,6,4,1,1,"feature 307","feature 314",17,1.47196014438797
"17200","location 471","0","severity_type 2",2,6,7,3,1,"feature 232","feature 235",32,1.86189867250253
"17202","location 1054","0","severity_type 1",1,2,5,3,1,"feature 195","feature 73",8,1.4142135623731
"17203","location 282","0","severity_type 4",1,3,1,1,1,"feature 313","feature 313",3,0
"17204","location 831","0","severity_type 2",1,1,1,1,1,"feature 68","feature 68",1,NA
"17207","location 126","0","severity_type 2",2,8,41,5,1,"feature 232","feature 315",127,13.9533662093213
"17208","location 837","1","severity_type 1",3,5,2,1,2,"feature 222","feature 223",9,0.447213595499958
"17211","location 231","0","severity_type 2",2,2,1,1,1,"feature 232","feature 232",2,0
"17213","location 653","1","severity_type 1",2,4,9,3,1,"feature 82","feature 201",21,2.87228132326901
"17214","location 93","0","severity_type 2",2,2,4,4,1,"feature 227","feature 227",8,0
"17217","location 469","0","severity_type 2",2,9,41,2,1,"feature 312","feature 310",110,15.1226467407146
"17219","location 476","0","severity_type 2",2,2,5,2,1,"feature 312","feature 232",7,2.12132034355964
"17220","location 646","2","severity_type 1",2,4,3,2,2,"feature 141","feature 82",10,0.577350269189626
"17222","location 491","0","severity_type 2",2,4,3,2,1,"feature 235","feature 232",10,0.577350269189626
"17229","location 871","0","severity_type 1",1,2,2,2,1,"feature 134","feature 134",4,0
"17233","location 547","0","severity_type 1",1,2,2,2,1,"feature 219","feature 219",4,0
"17234","location 259","0","severity_type 2",1,2,1,1,1,"feature 232","feature 232",2,0
"17237","location 878","0","severity_type 1",1,1,1,1,1,"feature 73","feature 73",1,NA
"17240","location 1100","2","severity_type 1",2,5,78,2,1,"feature 82","feature 193",114,32.7520991693662
"17241","location 814","0","severity_type 2",1,1,2,2,1,"feature 70","feature 70",2,NA
"17244","location 415","1","severity_type 1",3,6,3,1,1,"feature 312","feature 307",10,0.816496580927726
"17245","location 803","1","severity_type 2",1,3,1,1,1,"feature 68","feature 68",3,0
"17246","location 465","0","severity_type 1",3,4,2,1,2,"feature 160","feature 94",5,0.5
"17248","location 112","0","severity_type 2",3,5,1,1,2,"feature 181","feature 181",5,0
"17250","location 1097","0","severity_type 1",1,1,3,3,1,"feature 170","feature 170",3,NA
"17252","location 118","0","severity_type 2",2,2,22,19,1,"feature 312","feature 232",41,2.12132034355964
"17255","location 100","0","severity_type 2",2,3,2,1,1,"feature 312","feature 307",5,0.577350269189626
"17258","location 445","0","severity_type 2",2,3,3,1,1,"feature 312","feature 307",6,1
"17262","location 899","0","severity_type 1",4,7,2,1,1,"feature 375","feature 291",8,0.377964473009227
"17265","location 1061","2","severity_type 2",1,1,1,1,1,"feature 82","feature 82",1,NA
"17266","location 298","0","severity_type 2",2,4,2,1,1,"feature 312","feature 227",5,0.5
"17267","location 532","0","severity_type 1",4,12,7,1,2,"feature 240","feature 99",32,1.87487373312218
"17268","location 599","2","severity_type 2",1,2,49,12,1,"feature 82","feature 203",61,26.1629509039023
"17269","location 734","2","severity_type 1",2,4,15,1,1,"feature 82","feature 71",25,6.39661368746516
"17273","location 789","1","severity_type 1",1,2,5,1,1,"feature 170","feature 206",6,2.82842712474619
"17275","location 175","1","severity_type 2",1,2,1,1,1,"feature 44","feature 44",2,0
"17276","location 469","0","severity_type 2",2,5,51,2,1,"feature 312","feature 233",106,24.5703072833858
"17277","location 989","1","severity_type 1",1,1,1,1,1,"feature 54","feature 54",1,NA
"17283","location 995","1","severity_type 1",2,4,8,1,1,"feature 82","feature 193",17,2.87228132326901
"17284","location 836","0","severity_type 1",1,2,31,30,1,"feature 195","feature 73",61,0.707106781186548
"17285","location 834","2","severity_type 1",2,2,27,14,1,"feature 82","feature 203",41,9.19238815542512
"17287","location 124","0","severity_type 4",1,2,2,1,1,"feature 313","feature 315",3,0.707106781186548
"17288","location 116","0","severity_type 2",2,2,4,4,1,"feature 232","feature 232",8,0
"17291","location 481","0","severity_type 2",2,4,30,24,1,"feature 310","feature 230",108,2.94392028877595
"17293","location 95","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"17297","location 415","1","severity_type 2",2,4,2,1,1,"feature 307","feature 312",5,0.5
"17300","location 322","0","severity_type 2",2,6,7,1,1,"feature 312","feature 313",25,2.85773803324704
"17301","location 895","1","severity_type 1",3,5,4,3,1,"feature 376","feature 291",18,0.547722557505166
"17305","location 641","0","severity_type 1",2,4,2,1,1,"feature 376","feature 291",6,0.577350269189626
"17306","location 159","1","severity_type 1",3,10,5,1,2,"feature 160","feature 221",27,1.15950180872841
"17307","location 118","0","severity_type 2",2,2,26,22,1,"feature 232","feature 312",48,2.82842712474619
"17310","location 232","0","severity_type 4",1,1,1,1,1,"feature 312","feature 312",1,NA
"17313","location 344","0","severity_type 2",2,2,5,2,1,"feature 312","feature 232",7,2.12132034355964
"17314","location 1086","2","severity_type 2",1,2,16,14,1,"feature 82","feature 203",30,1.4142135623731
"17315","location 288","0","severity_type 1",3,8,2,1,2,"feature 44","feature 227",11,0.517549169506766
"17319","location 455","0","severity_type 2",2,2,15,15,1,"feature 312","feature 312",30,0
"17322","location 949","1","severity_type 1",1,2,2,1,1,"feature 170","feature 54",3,0.707106781186548
"17323","location 745","1","severity_type 1",3,3,1,1,2,"feature 306","feature 306",3,0
"17327","location 258","1","severity_type 1",2,3,1,1,1,"feature 301","feature 301",3,0
"17330","location 808","0","severity_type 1",2,2,4,3,1,"feature 193","feature 71",7,0.707106781186548
"17334","location 124","0","severity_type 2",2,6,6,2,1,"feature 233","feature 315",25,1.83484785926972
"17337","location 471","0","severity_type 2",2,12,12,1,1,"feature 313","feature 229",52,3.8455011101128
"17338","location 1061","2","severity_type 2",1,4,22,1,1,"feature 82","feature 201",27,10.2102889283311
"17339","location 234","1","severity_type 1",2,2,2,1,2,"feature 160","feature 211",3,0.707106781186548
"17340","location 577","0","severity_type 1",1,2,2,2,1,"feature 134","feature 134",4,0
"17342","location 1042","0","severity_type 2",1,1,6,6,1,"feature 82","feature 82",6,NA
"17343","location 1107","2","severity_type 1",2,1,5,5,1,"feature 71","feature 71",5,NA
"17344","location 794","0","severity_type 1",3,3,4,1,3,"feature 47","feature 306",9,1.73205080756888
"17348","location 692","1","severity_type 1",1,2,23,15,1,"feature 54","feature 170",38,5.65685424949238
"17352","location 897","0","severity_type 2",2,2,1,1,1,"feature 374","feature 374",2,0
"17356","location 136","0","severity_type 2",2,2,10,10,1,"feature 232","feature 232",20,0
"17357","location 706","2","severity_type 1",1,1,3,3,1,"feature 68","feature 68",3,NA
"17360","location 1108","0","severity_type 2",1,2,1,1,1,"feature 80","feature 80",2,0
"17361","location 507","0","severity_type 2",2,2,25,25,1,"feature 232","feature 232",50,0
"17362","location 851","0","severity_type 1",2,2,6,1,2,"feature 68","feature 273",7,3.53553390593274
"17364","location 1099","0","severity_type 1",1,2,16,6,1,"feature 81","feature 202",22,7.07106781186548
"17365","location 895","2","severity_type 1",4,6,19,1,1,"feature 375","feature 374",64,7.84006802691575
"17366","location 1066","0","severity_type 1",3,4,1,1,3,"feature 170","feature 170",4,0
"17369","location 632","2","severity_type 1",2,5,26,1,2,"feature 170","feature 182",34,10.7796103825695
"17370","location 866","2","severity_type 1",1,8,17,1,1,"feature 54","feature 62",44,7.11135912265922
"17371","location 745","1","severity_type 1",2,1,1,1,2,"feature 170","feature 170",1,NA
"17372","location 127","0","severity_type 2",2,8,5,1,1,"feature 313","feature 235",21,1.68501801601221
"17375","location 520","0","severity_type 2",2,3,6,2,1,"feature 312","feature 313",14,2.3094010767585
"17378","location 532","0","severity_type 4",3,3,2,1,2,"feature 39","feature 240",4,0.577350269189626
"17381","location 600","0","severity_type 2",1,1,38,38,1,"feature 82","feature 82",38,NA
"17386","location 764","0","severity_type 1",1,2,1,1,1,"feature 195","feature 195",2,0
"17388","location 497","0","severity_type 2",2,2,4,2,1,"feature 312","feature 232",6,1.4142135623731
"17389","location 17","1","severity_type 1",1,1,2,2,1,"feature 170","feature 170",2,NA
"17390","location 173","1","severity_type 2",1,2,1,1,1,"feature 233","feature 233",2,0
"17397","location 936","0","severity_type 4",2,3,4,1,2,"feature 306","feature 197",6,1.73205080756888
"17399","location 479","0","severity_type 2",2,4,34,2,1,"feature 314","feature 229",71,17.0953209972788
"17401","location 124","0","severity_type 2",2,6,7,2,1,"feature 313","feature 235",26,1.86189867250253
"17405","location 707","0","severity_type 2",1,1,1,1,1,"feature 71","feature 71",1,NA
"17407","location 100","0","severity_type 2",2,7,2,1,1,"feature 312","feature 308",8,0.377964473009227
"17409","location 816","2","severity_type 1",4,8,154,3,4,"feature 170","feature 347",310,63.5199631162182
"17410","location 1051","2","severity_type 1",1,2,2,1,1,"feature 54","feature 68",3,0.707106781186548
"17411","location 557","0","severity_type 1",1,2,2,2,1,"feature 359","feature 359",4,0
"17414","location 1008","0","severity_type 2",1,3,21,1,1,"feature 82","feature 80",28,10.4083299973307
"17415","location 717","0","severity_type 1",1,2,1,1,1,"feature 134","feature 134",2,0
"17417","location 243","0","severity_type 2",2,6,46,32,1,"feature 229","feature 314",251,5.91326193117358
"17418","location 471","0","severity_type 2",2,6,9,1,1,"feature 313","feature 235",33,2.88097205817759
"17421","location 845","1","severity_type 2",1,4,12,1,1,"feature 82","feature 172",21,5.31507290636732
"17423","location 228","0","severity_type 2",2,8,2,1,1,"feature 312","feature 314",10,0.462910049886276
"17424","location 402","1","severity_type 2",2,6,2,1,1,"feature 307","feature 95",8,0.516397779494322
"17426","location 488","0","severity_type 2",2,2,4,2,1,"feature 312","feature 232",6,1.4142135623731
"17429","location 155","0","severity_type 2",2,2,11,11,1,"feature 232","feature 232",22,0
"17430","location 419","1","severity_type 1",3,6,2,1,1,"feature 312","feature 301",7,0.408248290463863
"17431","location 655","0","severity_type 1",1,1,1,1,1,"feature 201","feature 201",1,NA
"17436","location 798","2","severity_type 2",1,2,38,28,1,"feature 82","feature 203",66,7.07106781186548
"17437","location 122","0","severity_type 2",2,10,9,1,1,"feature 313","feature 235",30,3.05505046330389
"17438","location 653","2","severity_type 1",2,5,22,2,1,"feature 82","feature 201",38,8.76356092008266
"17440","location 102","0","severity_type 2",2,6,6,1,1,"feature 230","feature 312",20,2.06559111797729
"17441","location 793","0","severity_type 2",1,2,10,2,1,"feature 73","feature 195",12,5.65685424949238
"17443","location 1086","2","severity_type 2",1,2,20,6,1,"feature 82","feature 203",26,9.89949493661167
"17444","location 348","0","severity_type 4",1,2,1,1,1,"feature 312","feature 312",2,0
"17446","location 4","1","severity_type 1",1,2,1,1,1,"feature 170","feature 170",2,0
"17450","location 880","0","severity_type 1",1,2,1,1,1,"feature 56","feature 56",2,0
"17452","location 817","0","severity_type 2",1,2,3,3,1,"feature 167","feature 167",6,0
"17454","location 793","0","severity_type 1",1,2,9,8,1,"feature 73","feature 195",17,0.707106781186548
"17460","location 1100","1","severity_type 1",2,5,97,1,1,"feature 82","feature 201",103,42.7176778395081
"17461","location 745","1","severity_type 1",2,2,2,1,2,"feature 68","feature 273",3,0.707106781186548
"17464","location 124","0","severity_type 2",2,6,7,2,1,"feature 313","feature 235",24,2.36643191323985
"17467","location 339","0","severity_type 2",2,4,1,1,1,"feature 312","feature 312",4,0
"17470","location 1008","1","severity_type 2",1,3,4,1,1,"feature 82","feature 80",7,1.52752523165195
"17472","location 733","1","severity_type 1",1,4,2,1,1,"feature 206","feature 54",5,0.5
"17473","location 477","0","severity_type 2",2,6,4,3,1,"feature 314","feature 309",21,0.547722557505166
"17475","location 856","1","severity_type 1",3,4,1,1,2,"feature 54","feature 54",4,0
"17476","location 882","0","severity_type 1",1,2,3,3,1,"feature 55","feature 55",6,0
"17482","location 1107","2","severity_type 1",2,4,74,12,1,"feature 82","feature 193",127,28.9410320018712
"17485","location 282","0","severity_type 1",2,3,1,1,1,"feature 134","feature 134",3,0
"17490","location 584","0","severity_type 1",1,2,4,4,1,"feature 195","feature 195",8,0
"17491","location 691","0","severity_type 2",2,2,4,2,2,"feature 75","feature 306",6,1.4142135623731
"17493","location 909","0","severity_type 1",2,4,2,1,2,"feature 68","feature 179",6,0.577350269189626
"17495","location 995","2","severity_type 1",2,8,237,2,1,"feature 56","feature 71",475,100.757045127659
"17498","location 810","1","severity_type 2",1,2,12,2,1,"feature 82","feature 203",14,7.07106781186548
"17502","location 1024","0","severity_type 1",1,3,21,3,1,"feature 195","feature 109",30,9.64365076099295
"17504","location 311","0","severity_type 1",3,5,3,1,1,"feature 312","feature 219",9,1.09544511501033
"17506","location 875","1","severity_type 1",1,1,2,2,1,"feature 193","feature 193",2,NA
"17511","location 9","0","severity_type 2",1,1,4,4,1,"feature 71","feature 71",4,NA
"17512","location 466","0","severity_type 2",2,2,3,3,1,"feature 314","feature 314",6,0
"17515","location 1024","2","severity_type 1",1,2,7,7,1,"feature 42","feature 42",14,0
"17517","location 475","0","severity_type 2",2,3,36,1,1,"feature 314","feature 312",71,19.6553639837408
"17519","location 662","0","severity_type 1",1,3,1,1,1,"feature 170","feature 170",3,0
"17521","location 638","0","severity_type 1",1,4,155,1,1,"feature 370","feature 33",169,75.3010624095039
"17524","location 210","0","severity_type 2",2,2,2,1,1,"feature 232","feature 312",3,0.707106781186548
"17525","location 1018","1","severity_type 1",2,2,11,6,1,"feature 80","feature 201",17,3.53553390593274
"17527","location 675","1","severity_type 1",1,4,2,1,1,"feature 171","feature 205",5,0.5
"17531","location 181","0","severity_type 2",2,4,4,1,1,"feature 313","feature 233",10,1.29099444873581
"17532","location 161","0","severity_type 2",2,2,5,5,1,"feature 232","feature 232",10,0
"17535","location 734","2","severity_type 1",2,4,48,3,1,"feature 82","feature 193",82,20.7605394920267
"17536","location 505","0","severity_type 2",2,2,7,4,1,"feature 232","feature 312",11,2.12132034355964
"17537","location 208","0","severity_type 4",1,2,1,1,1,"feature 315","feature 315",2,0
"17538","location 1107","2","severity_type 1",2,5,293,1,1,"feature 82","feature 80",405,120.86976462292
"17542","location 878","1","severity_type 1",1,4,3,1,1,"feature 195","feature 68",7,0.957427107756338
"17546","location 276","0","severity_type 2",2,2,5,2,1,"feature 312","feature 232",7,2.12132034355964
"17547","location 870","0","severity_type 1",1,2,1,1,1,"feature 219","feature 219",2,0
"17548","location 471","0","severity_type 2",2,2,113,104,1,"feature 232","feature 312",217,6.36396103067893
"17551","location 815","1","severity_type 1",1,2,1,1,1,"feature 55","feature 55",2,0
"17555","location 16","1","severity_type 1",1,2,8,7,1,"feature 170","feature 54",15,0.707106781186548
"17558","location 419","0","severity_type 4",1,1,1,1,1,"feature 94","feature 94",1,NA
"17559","location 353","1","severity_type 1",3,5,1,1,1,"feature 220","feature 220",5,0
"17561","location 477","0","severity_type 2",2,4,62,26,1,"feature 314","feature 229",172,16.8522995463527
"17564","location 496","0","severity_type 2",2,9,47,1,1,"feature 312","feature 229",133,14.2370799128348
"17566","location 892","0","severity_type 1",3,5,2,1,1,"feature 368","feature 283",8,0.547722557505166
"17569","location 793","0","severity_type 2",1,2,3,1,1,"feature 73","feature 195",4,1.4142135623731
"17573","location 1042","2","severity_type 1",2,2,24,7,1,"feature 82","feature 203",31,12.0208152801713
"17576","location 808","0","severity_type 1",1,2,2,2,1,"feature 71","feature 71",4,0
"17578","location 704","1","severity_type 1",3,4,7,3,2,"feature 82","feature 193",19,1.70782512765993
"17581","location 1019","2","severity_type 2",1,3,10,4,1,"feature 82","feature 80",23,3.21455025366432
"17583","location 479","0","severity_type 2",2,4,8,2,1,"feature 314","feature 229",18,2.64575131106459
"17585","location 734","2","severity_type 2",1,3,4,1,1,"feature 203","feature 71",9,1.73205080756888
"17592","location 809","0","severity_type 2",1,1,4,4,1,"feature 71","feature 71",4,NA
"17593","location 470","0","severity_type 2",2,4,2,1,1,"feature 313","feature 232",5,0.5
"17595","location 1","2","severity_type 1",2,5,16,1,1,"feature 82","feature 111",44,6.22093240599832
"17596","location 506","0","severity_type 2",2,6,26,2,1,"feature 314","feature 316",61,11.1788490761199
"17599","location 794","1","severity_type 1",3,3,2,1,3,"feature 223","feature 47",4,0.577350269189626
"17601","location 1097","1","severity_type 1",1,2,2,2,1,"feature 170","feature 170",4,0
"17606","location 925","0","severity_type 1",1,2,109,40,1,"feature 54","feature 170",149,48.7903679018718
"17608","location 403","1","severity_type 1",2,2,2,1,2,"feature 160","feature 211",3,0.707106781186548
"17614","location 738","2","severity_type 1",4,7,8,2,2,"feature 68","feature 172",36,2.41029537806548
"17615","location 792","0","severity_type 1",1,1,1,1,1,"feature 134","feature 134",1,NA
"17616","location 793","0","severity_type 1",1,2,14,12,1,"feature 73","feature 195",26,1.4142135623731
"17620","location 1107","0","severity_type 1",2,5,14,3,1,"feature 71","feature 172",34,5.3103672189407
"17624","location 448","0","severity_type 2",2,2,2,1,1,"feature 312","feature 232",3,0.707106781186548
"17625","location 976","0","severity_type 2",1,1,12,12,1,"feature 82","feature 82",12,NA
"17626","location 181","0","severity_type 2",2,2,1,1,1,"feature 312","feature 312",2,0
"17627","location 1018","0","severity_type 1",2,2,4,3,1,"feature 193","feature 71",7,0.707106781186548
"17629","location 155","1","severity_type 2",2,2,3,3,1,"feature 232","feature 232",6,0
"17633","location 684","2","severity_type 2",1,2,50,6,1,"feature 82","feature 203",56,31.1126983722081
"17636","location 834","2","severity_type 2",1,2,18,16,1,"feature 82","feature 203",34,1.4142135623731
"17637","location 547","1","severity_type 1",1,1,1,1,1,"feature 359","feature 359",1,NA
"17638","location 242","0","severity_type 2",2,4,3,2,1,"feature 232","feature 309",9,0.5
"17639","location 734","2","severity_type 1",2,2,2,2,2,"feature 82","feature 82",4,0
"17642","location 367","1","severity_type 2",2,4,1,1,1,"feature 227","feature 227",4,0
"17646","location 756","1","severity_type 1",2,2,2,2,2,"feature 54","feature 54",4,0
"17650","location 1033","1","severity_type 1",1,3,3,1,1,"feature 170","feature 68",6,1
"17653","location 1016","1","severity_type 1",1,2,1,1,1,"feature 182","feature 182",2,0
"17654","location 477","0","severity_type 1",3,10,9,1,2,"feature 312","feature 211",24,2.50333111406914
"17656","location 500","0","severity_type 2",2,5,4,1,1,"feature 235","feature 313",12,1.14017542509914
"17659","location 1031","0","severity_type 1",1,2,23,6,1,"feature 54","feature 170",29,12.0208152801713
"17661","location 704","2","severity_type 1",2,4,20,2,1,"feature 82","feature 201",37,8.46069343099804
"17662","location 322","1","severity_type 2",2,2,2,1,1,"feature 312","feature 232",3,0.707106781186548
"17663","location 559","2","severity_type 1",1,3,20,1,1,"feature 171","feature 167",23,10.6926766215636
